Date,Affected pages
2026-05-03,1669
2026-05-04,1673
2026-05-05,1673
2026-05-06,1673
2026-05-07,1673
2026-05-08,1674
2026-05-09,1674
2026-05-10,1674
2026-05-11,1677
2026-05-12,1677
2026-05-13,1677
2026-05-14,1677
2026-05-15,1677
2026-05-16,1677
2026-05-17,1677
2026-05-18,1678
2026-05-19,1678
2026-05-20,1678
2026-05-21,1678
2026-05-22,1678
2026-05-23,1678
2026-05-24,1678
2026-05-25,1677
2026-05-26,1677
2026-05-27,1677
2026-05-28,1677
2026-05-29,1678
2026-05-30,1678
2026-05-31,1678
2026-06-01,1690
2026-06-02,1690
2026-06-03,1690
2026-06-04,1690
2026-06-05,1699
2026-06-06,1699
2026-06-07,1699
2026-06-08,1687
2026-06-09,1687
2026-06-10,1687
2026-06-11,1687
2026-06-12,1549
2026-06-13,1549
2026-06-14,1549
2026-06-15,1549
2026-06-16,1549
2026-06-17,1549
2026-06-18,1549
2026-06-19,1549
2026-06-20,1549
2026-06-21,1549
2026-06-22,1549
2026-06-23,1549
2026-06-24,1549
2026-06-25,1549
2026-06-26,1549
2026-06-27,1549
2026-06-28,1549
2026-06-29,1549
2026-06-30,1500
2026-07-01,1500
2026-07-02,1500
2026-07-03,1500
2026-07-04,1500
2026-07-05,1500
2026-07-06,1500
2026-07-07,1500
2026-07-08,1500
2026-07-09,1500
2026-07-10,1417
2026-07-11,1417
2026-07-12,1417
2026-07-13,1417
2026-07-14,1417
2026-07-15,1417
2026-07-16,1417
2026-07-17,1417
2026-07-18,1417
2026-07-19,1417
2026-07-20,1417
2026-07-21,1417
2026-07-22,1417
2026-07-23,1417
